Gene	psill	range	Protein.Class.simple	DSI	DPI	X..Of.Diseases	X..Of.SNPs	ADgenes
TG	1.63	38.1	null	0.506	0.7499	134	22	0
ALDH7A1	0.03	0.2	oxidoreductase	0.557	0.6431	81	12	0
NRAS	0.19	7.1	enzyme modulator	0.384	0.7501	452	14	0
MTHFR	1.83	31.3	transferase	0.325	0.964	811	78	0
PAFAH1B1	0	0.1	enzyme modulator	0.471	0.6789	191	93	0
FLT3	0.03	4	null	0.49	0.6071	157	10	0
BTK	1.2	30.8	transferase	0.493	0.7141	153	48	0
ZEB2	0.04	9.1	transcription factor	0.506	0.714	134	90	0
COL1A1	0.49	14.1	null	0.418	0.8929	322	77	0
VCAN	0.3	33.9	extracellular matrix protein	0.498	0.7861	145	11	0
ACADVL	1.86	34.1	transferase	0.642	0.4999	35	28	0
FBN2	1.07	40.7	cell adhesion molecule	0.517	0.75	121	18	0
HNF1A	0.15	12.9	transcription factor	0.476	0.643	181	61	0
TRMU	0.27	5.2	transferase	0.628	0.3569	40	6	0
BRAT1	1	42.5	null	0.86	0.1431	4	0	0
EDA	0	1.3	null	0.509	0.679	131	59	0
BRCA2	0.16	12.9	nucleic acid binding	0.417	0.857	324	1377	0
SERPINC1	0.01	0.1	enzyme modulator	0.536	0.6069	100	36	0
RHO	0.07	7.3	receptor	0.533	0.7141	103	52	0
MYO3A	0.03	0.9	cell junction protein	0.79	0.214	8	1	0
CDH23	1.38	34.6	null	0.664	0.429	28	53	0
DOK7	0.41	17.4	null	0.688	0.286	22	20	0
MPZ	0.09	7.3	cell adhesion molecule	0.488	0.786	161	57	0
ATRX	1.59	24.3	nucleic acid binding	0.445	0.6791	246	20	0
MYL2	0.01	1.7	cytoskeletal protein	0.676	0.357	25	25	0
KDM5C	1.33	20.8	transcription factor	0.54	0.4999	96	18	0
DNMT3A	0	0.7	null	0.501	0.7141	142	13	0
ASL	0	1	lyase	0.593	0.429	57	49	0
ADAR	0.18	2.7	enzyme modulator	0.557	0.679	81	19	0
PMS2	0.58	43.2	nucleic acid binding	0.506	0.6071	134	81	0
MEFV	1.04	31.9	null	0.462	0.7859	209	61	0
TNNI3	0.14	12.3	cytoskeletal protein	0.591	0.536	58	47	0
THRB	0.14	7.8	transcription factor	0.53	0.75	106	26	0
